ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D2750022H00A5003+01DE04629+5,365.39295,85,42.294,82,44.8,191.8446238,8.33E-15,0.350764097,8.55E-05,2.51E-08,191.6800432,1.60E-14,0.351977747,8.91E-05,2.72E-08,171.7343544,0.172635165,0.001679174,175.74767,0.134902497,0.001682476
UC4D2750022K00A5003+01DE04631+5,367.66821,81,42.294,83,44.8,187.1313396,-1.86E-14,0.36970086,9.23E-05,2.77E-08,190.1485311,-1.25E-14,0.342505984,7.94E-05,2.28E-08,122.8449285,0.043729826,0.001728585,104.2229578,-0.003780727,0.001687366
UC4D275001WN00A5003+01DE05922+5,373.281155,81,42.294,81,44.8,182.2573641,-1.39E-14,0.369274353,9.27E-05,2.77E-08,196.1725608,5.11E-15,0.357054755,9.09E-05,2.70E-08,128.7822055,-0.022507256,0.00159793,155.8487792,0.080710077,0.001580477
UC4D275002R500A5003+01DE00531+5,364.78403,81,42.294,81,44.8,185.2155507,-5.27E-15,0.36911494,9.27E-05,2.71E-08,188.7166957,7.36E-15,0.351240145,8.41E-05,2.55E-08,138.3596986,-0.008271808,0.001643745,154.6725563,0.004912163,0.001617116
UC4D2750000L00A5003+01DE05420+5,369.87873,90,37.695,89,42.294,175.1778893,2.25E-15,0.37455687,9.45E-05,2.78E-08,186.8898017,-7.55E-15,0.339000972,7.88E-05,2.24E-08,133.5739056,-0.100325945,0.0017528,193.3589043,-0.009630141,0.00151958
UC4D2750026900A5003+01DE05529+5,369.5692,77,44.8,92,39.928,194.1737025,3.41E-15,0.367736035,9.15E-05,2.59E-08,186.4489456,-1.32E-14,0.343289956,8.08E-05,2.39E-08,121.2238756,-0.157477097,0.001734579,136.9209446,-0.194628227,0.001662955
UC4D275002R800A5003+01DE06402+5,365.371825,81,44.8,89,39.928,196.1325222,1.12E-14,0.352211815,8.07E-05,1.92E-08,189.6588613,-3.58E-15,0.361104958,8.85E-05,2.62E-08,144.4707754,-0.053449214,0.001610681,169.1278854,0.077006712,0.001655964
UC4D275003SQ00A5003+01DE00924+5,367.66457,77,44.8,82,44.8,180.397677,1.53E-14,0.364881223,9.23E-05,2.88E-08,188.1221045,1.19E-14,0.344094095,8.39E-05,2.44E-08,99.32872352,-0.10970892,0.001740503,187.4608973,0.087127673,0.001564908
UC4D275001WP00A5003+01DE05923+5,368.48201,81,42.294,84,42.294,187.7117776,-1.40E-14,0.36958751,8.99E-05,2.55E-08,179.5054575,3.64E-15,0.366701055,9.03E-05,2.62E-08,136.389499,-0.060710614,0.001630613,162.9069597,-0.036848521,0.001591608
UC4D275001WR00A5003+01DE05925+5,367.00196,80,44.8,84,44.8,195.3787946,1.78E-14,0.354574711,8.47E-05,2.29E-08,193.6030909,7.63E-15,0.340441274,7.81E-05,2.16E-08,194.832262,-0.105375712,0.001656988,159.2825363,-0.133000872,0.001702157
UC4D275002R900A5003+01DE06403+5,367.73256,81,42.294,90,39.928,181.6008484,4.16E-16,0.364483073,9.08E-05,2.61E-08,189.7132248,-7.41E-15,0.356630565,9.14E-05,2.78E-08,135.2675418,-0.093672778,0.001616262,183.0005038,0.03588975,0.001561824
UC4D275002RB00A5003+01DE06405+5,366.243085,80,42.294,89,39.928,183.7668186,6.27E-15,0.375499532,9.49E-05,2.76E-08,181.7676793,-2.50E-16,0.360070238,8.74E-05,2.54E-08,60.32865674,-0.267097469,0.001740413,144.4156533,-0.006775579,0.001618852
UC4D275002GR00A5003+01DE04101+5,367.96929,81,42.294,83,42.294,187.650794,-1.47E-15,0.368907125,8.90E-05,2.27E-08,177.2580885,1.30E-14,0.368056142,9.33E-05,3.00E-08,130.9413892,-0.031104563,0.001605261,121.5312613,-0.112106926,0.00160477
UC4D275002GT00A5003+01DE04103+5,366.51498,85,39.928,84,42.294,188.8540045,-4.02E-15,0.373430752,9.46E-05,2.73E-08,182.523877,1.57E-14,0.362822519,8.89E-05,2.61E-08,128.8514638,-0.08396706,0.001634292,189.1688098,-0.117964418,0.001564462
UC4D2750026800A5003+01DE05528+5,368.940845,89,39.928,84,42.294,187.1117316,3.80E-15,0.353259659,8.18E-05,2.29E-08,187.8008506,-9.60E-15,0.35920552,8.96E-05,2.70E-08,132.9425913,-0.085175774,0.001660531,226.9602529,-0.030989346,0.001594391
UC4D2750026A00A5003+01DE05530+5,371.413315,80,44.8,85,42.294,195.3996917,2.31E-14,0.355868821,8.62E-05,2.42E-08,181.4022721,1.56E-14,0.35628628,8.64E-05,2.50E-08,108.7470933,-0.065575336,0.001660409,144.9552354,-0.031907012,0.00167115
UC4D2750026B00A5003+01DE05531+5,366.96777,80,42.294,86,42.294,181.5204825,-8.08E-15,0.369610383,9.32E-05,2.86E-08,197.3301354,4.88E-15,0.348408107,8.69E-05,2.57E-08,87.29339221,-0.148204839,0.001668465,132.8473901,-0.137065254,0.001640899
UC4D2750026G00A5003+01DE03304+5,367.214835,91,37.695,91,39.928,190.4894376,9.74E-15,0.368631959,9.16E-05,2.61E-08,185.282592,-1.57E-14,0.351619566,8.37E-05,2.38E-08,99.46523705,-0.179972413,0.001734843,131.3831315,-0.245793482,0.001626753
UC4D275001WQ00A5003+01DE05924+5,370.205225,81,42.294,81,44.8,186.9654838,2.30E-14,0.363807542,9.13E-05,2.77E-08,191.5068711,-1.20E-14,0.353451891,9.01E-05,2.79E-08,91.52472759,0.117563382,0.001681477,201.4294308,0.14155949,0.00155477
UC4D275001WS00A5003+01DE05926+5,370.2803,79,44.8,81,47.455,188.3837321,-8.63E-15,0.360254377,8.78E-05,2.52E-08,196.3940502,9.99E-16,0.338023229,7.66E-05,2.15E-08,108.7205357,0.091966978,0.00180474,179.8149661,0.018167584,0.001642026
UC4D275002RA00A5003+01DE06404+5,364.912925,91,37.695,86,42.294,181.8403427,-9.10E-15,0.369139754,8.86E-05,2.29E-08,192.5052313,1.47E-14,0.354844392,8.48E-05,2.40E-08,172.5621175,-0.000507999,0.001614027,195.2939322,0.04625492,0.001546468
UC4D275002RC00A5003+01DE06406+5,357.610045,84,42.294,85,42.294,188.3338473,-4.14E-15,0.355453638,8.40E-05,2.22E-08,186.0062377,1.41E-14,0.357193821,8.62E-05,2.42E-08,98.74860963,-0.116415763,0.001669004,163.5076121,-8.41E-05,0.001664899
UC4D275002GU00A5003+01DE04104+5,371.97173,80,42.294,83,44.8,187.6625499,-1.48E-14,0.369480295,9.23E-05,2.72E-08,187.1713724,-5.58E-15,0.345633068,7.99E-05,2.21E-08,153.9915936,0.073076349,0.001637304,178.4412139,-0.000721132,0.001586882
UC4D275002H100A5003+01DE04111+5,372.19351,86,39.928,81,44.8,185.1924121,-1.68E-14,0.36631917,9.18E-05,2.81E-08,187.4258645,1.80E-14,0.353918059,8.92E-05,2.70E-08,179.553464,0.010680108,0.001588429,173.5099903,0.005832678,0.001571923
