ActuatorSN,aps_strokeMax_um,sph_S2_OOVreg,sph_S2_gain,sph_S1_OOVreg,sph_S1_gain,sph_strokecenter_x_sensor_offset_lsb,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,sph_strokecenter_y_sensor_offset_lsb,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2
UC4D263002AT00A5002+01AA09523+5,379.544815,80,44.8,84,42.294,180.620954,1.21E-14,0.355730186,8.38E-05,2.19E-08,182.9341692,1.57E-14,0.364030042,9.03E-05,2.86E-08,83.68541363,-0.171291726,0.001693673,152.9872076,-0.14059647,0.001721289
UC4D263002BL00A5002+01AA01318+5,381.55988,81,42.294,87,42.294,180.2578725,1.79E-14,0.370922182,9.15E-05,2.40E-08,180.4378698,-1.36E-14,0.348171054,8.06E-05,2.14E-08,145.0347232,0.154553477,0.001723156,110.5162051,-0.123054907,0.001683741
UC4D263002BS00A5002+01AA01324+5,382.13045,80,44.8,85,42.294,192.1328011,2.03E-15,0.354062017,8.44E-05,2.31E-08,181.8162865,2.30E-14,0.35650071,8.48E-05,2.16E-08,104.9402352,0.205082988,0.001740901,184.0991009,0.023475646,0.001683287
UC4D263002CU00A5002+01AA10028+5,387.49035,79,44.8,82,44.8,189.503329,-4.39E-15,0.359640201,8.80E-05,2.52E-08,187.935624,3.72E-15,0.351086091,8.46E-05,2.49E-08,158.241887,0.015419124,0.001717373,130.5508653,0.033356868,0.001772877
UC4D263002DG00A5002+01AA05118+5,386.23923,77,44.8,83,44.8,185.6058316,-5.55E-17,0.368081763,9.54E-05,3.17E-08,192.2713158,7.22E-15,0.343297595,8.14E-05,2.41E-08,114.0862385,-0.189843497,0.001720329,157.3517099,-0.032212281,0.001574713
UC4D263002DV00A5002+01AA05131+5,375.031995,80,42.294,78,44.8,176.512987,9.99E-16,0.376105077,9.64E-05,2.82E-08,199.6507362,1.87E-14,0.373768447,9.31E-05,2.59E-08,77.09297744,-0.131427732,0.001634851,148.1716671,-0.139289009,0.001607228
UC4D263002E300A5002+01AA00707+5,373.062495,85,39.928,83,42.294,168.763283,-9.88E-15,0.375747174,9.41E-05,2.65E-08,183.1696629,1.25E-14,0.363941093,8.88E-05,2.53E-08,107.7757945,-0.139737601,0.001700829,90.48384053,-0.021084196,0.001698958
UC4D263002ET00A5002+01AA00731+5,381.1847,79,44.8,83,42.294,182.0777714,3.16E-15,0.357546708,8.58E-05,2.27E-08,177.9648997,-4.22E-15,0.366075002,9.14E-05,2.70E-08,109.3579485,-0.234222937,0.001647526,104.4913058,-0.092386245,0.00170965
UC4D263002EW00A5002+01AA04202+5,387.44589,80,42.294,91,39.928,163.7149088,9.20E-15,0.380438113,9.46E-05,2.42E-08,181.1914701,1.85E-14,0.353222726,8.65E-05,2.58E-08,167.1575093,-0.305178116,0.00168805,117.8941706,0.010917153,0.001643223
UC4D263002FX00A5002+01AA01005+5,382.11628,83,42.294,86,42.294,189.0318758,-8.44E-15,0.367841493,9.07E-05,2.45E-08,189.248475,-1.60E-14,0.351182881,8.48E-05,2.49E-08,134.0586118,-0.073908709,0.001732644,151.78007,0.000642776,0.001689496
