ActuatorSN,AF_single_vcm_S1_AF_c0,AF_single_vcm_S1_AF_c1,AF_single_vcm_S1_AF_c2,AF_single_vcm_S2_AF_c0,AF_single_vcm_S2_AF_c1,AF_single_vcm_S2_AF_c2,aps_strokeMax_um,OISX_pos_polynomial_cubic_offsetcorrected_C0,OISX_pos_polynomial_cubic_offsetcorrected_C1,OISX_pos_polynomial_cubic_offsetcorrected_C2,OISX_pos_polynomial_cubic_offsetcorrected_C3,OISY_pos_polynomial_cubic_offsetcorrected_C0,OISY_pos_polynomial_cubic_offsetcorrected_C1,OISY_pos_polynomial_cubic_offsetcorrected_C2,OISY_pos_polynomial_cubic_offsetcorrected_C3,sph_S1_gain,sph_S1_OOVreg,sph_S2_gain,sph_S2_OOVreg,sph_strokecenter_x_sensor_offset_lsb,sph_strokecenter_y_sensor_offset_lsb
UC4D2620011X00A5002+01AA01205+5,139.1971252,-0.218174897,0.001716685,184.1227921,-0.035281384,0.00169181,378.75617,-4.55E-15,0.358708799,8.86E-05,2.53E-08,7.05E-15,0.344377645,8.65E-05,2.73E-08,42.294,87,44.8,78,185.3502465,184.2261973
UC4D2620011Z00A5002+01AA01207+5,151.7247589,-0.248333364,0.001758909,104.6294207,-0.15820319,0.001765457,376.850435,-5.25E-15,0.361975751,8.78E-05,2.48E-08,-1.12E-14,0.340661086,8.04E-05,2.61E-08,44.8,83,44.8,79,187.7413713,178.4230122
UC4D262001Y300A5002+01AA04607+5,163.1519674,-0.097676733,0.001656716,184.3036022,-0.0288661,0.001648499,376.26017,2.79E-14,0.365416924,9.02E-05,2.58E-08,-3.16E-15,0.353426558,8.47E-05,2.42E-08,39.928,90,39.928,88,183.4456305,174.755793
UC4D262001JC00A5002+01AA08420+5,145.0800786,-0.03564156,0.001652164,157.4689836,0.02108416,0.001669535,378.913015,2.44E-15,0.361473309,8.86E-05,2.53E-08,1.28E-15,0.348134854,8.33E-05,2.69E-08,42.294,86,42.294,83,187.519786,177.2232518
UC4D262001NP00A5002+01AA11407+5,177.3159544,-0.075417693,0.001694697,128.974066,0.042216311,0.001695836,376.481625,-4.41E-15,0.367806215,9.13E-05,2.57E-08,-3.14E-15,0.349491591,8.37E-05,2.45E-08,42.294,86,42.294,81,182.5235904,174.712062
UC4D262001NZ00A5002+01AA11417+5,175.4064933,-0.124189617,0.001714581,147.2421082,0.131079681,0.001607909,376.343045,1.10E-14,0.36864121,9.33E-05,2.85E-08,2.46E-14,0.333227397,8.10E-05,2.44E-08,44.8,83,44.8,76,182.7637395,191.5313607
UC4D262001TP00A5002+01AA07417+5,132.7998044,-0.122430163,0.001677278,207.2740596,0.005281338,0.001555097,379.59129,4.33E-15,0.374565164,9.63E-05,2.80E-08,3.22E-15,0.349797566,8.25E-05,2.28E-08,39.928,90,39.928,84,183.1162885,187.9540545
UC4D262000ZN00A5002+01AA05024+5,185.8261144,-0.018674782,0.001644575,191.5425581,-0.02438603,0.001648358,374.731825,1.44E-14,0.360607359,8.81E-05,2.46E-08,-2.15E-15,0.351168204,8.42E-05,2.50E-08,42.294,86,42.294,83,186.1433733,167.5657476
UC4D262000ZP00A5002+01AA05025+5,148.9410745,-0.149886938,0.001624281,195.088318,-0.069162668,0.001569463,375.830325,-5.50E-15,0.37035957,9.48E-05,2.83E-08,1.70E-14,0.352220809,8.95E-05,2.81E-08,42.294,85,42.294,80,182.1088231,184.1866207
UC4D262001HH00A5002+01AA10623+5,151.647824,-0.012781793,0.001770666,186.7759877,0.102065174,0.001646503,375.611535,-1.30E-14,0.351754105,8.75E-05,2.61E-08,-9.33E-15,0.334585893,7.57E-05,2.07E-08,44.8,85,44.8,80,190.8645184,176.6063678
